N,ApproxArea,RelError
100,0.9504,0.00622838
600,0.9528,0.00876936
1100,0.942545,0.00208755
1600,0.9504,0.00622838
2100,0.914743,0.0315233
2600,0.944308,0.0002218
3100,0.948077,0.00376937
3600,0.9296,0.0157935
4100,0.927571,0.0179419
4600,0.917217,0.0289034
5100,0.924424,0.021274
5600,0.942171,0.00248355
6100,0.944026,0.000519796
6600,0.934473,0.0106345
7100,0.942085,0.00257558
7600,0.935242,0.00981992
8100,0.931911,0.0133466
8600,0.928298,0.0171723
9100,0.944703,0.000197043
9600,0.9432,0.00139456
10100,0.932863,0.0123384
10600,0.93274,0.0124694
11100,0.939114,0.00572109
11600,0.922469,0.0233434
12100,0.944688,0.000180428
12600,0.936229,0.0087755
13100,0.936769,0.00820284
13600,0.928376,0.0170889
14100,0.938655,0.0062062
14600,0.938564,0.00630248
15100,0.935237,0.00982523
15600,0.938769,0.0060856
16100,0.939578,0.0052297
16600,0.931229,0.0140688
17100,0.937937,0.00696689
17600,0.937145,0.00780476
18100,0.931783,0.0134818
18600,0.932129,0.0131159
19100,0.944067,0.000476614
19600,0.934824,0.0102621
20100,0.940943,0.00378384
20600,0.926214,0.0193788
21100,0.936,0.0090175
21600,0.9388,0.00605302
22100,0.927855,0.0176407
22600,0.935235,0.00982702
23100,0.937309,0.00763151
23600,0.940637,0.00410781
24100,0.931519,0.0137621
24600,0.933483,0.0116824
25100,0.936172,0.00883528
25600,0.935831,0.00919617
26100,0.932083,0.0131649
26600,0.93665,0.00832972
27100,0.932493,0.0127305
27600,0.93553,0.00951465
28100,0.936,0.0090175
28600,0.93882,0.00603229
29100,0.927538,0.0179764
29600,0.930989,0.0143227
30100,0.934421,0.010689
30600,0.941788,0.00288925
31100,0.933268,0.0119098
31600,0.932992,0.0122018
32100,0.934475,0.0106323
32600,0.937104,0.00784834
33100,0.941177,0.00353635
33600,0.9369,0.00806463
34100,0.935662,0.00937518
34600,0.937665,0.00725497
35100,0.938544,0.0063245
35600,0.938387,0.0064908
36100,0.934205,0.010918
36600,0.938046,0.00685142
37100,0.932196,0.0130447
37600,0.931481,0.0138021
38100,0.934299,0.0108182
38600,0.933575,0.0115848
39100,0.939683,0.0051183
39600,0.936036,0.008979
40100,0.932696,0.0125153
40600,0.936567,0.00841668
41100,0.931025,0.0142849
41600,0.9351,0.00997037
42100,0.935897,0.00912614
42600,0.933228,0.0119522
43100,0.934931,0.0101494
43600,0.931905,0.0133535
44100,0.938286,0.00659752
44600,0.936936,0.00802618
45100,0.931051,0.0142572
45600,0.932463,0.0127621
46100,0.935906,0.00911672
46600,0.92982,0.0155608
47100,0.936887,0.0080788
47600,0.930887,0.0144304
48100,0.939892,0.00489699
48600,0.933215,0.0119663
49100,0.93556,0.00948326
49600,0.937916,0.00698882
50100,0.933614,0.0115433
50600,0.934122,0.0110061
51100,0.934084,0.0110463
51600,0.938316,0.00656516
52100,0.933844,0.0113
52600,0.932578,0.0126406
53100,0.936949,0.00801259
53600,0.933716,0.0114352
54100,0.939141,0.00569215
54600,0.939982,0.00480115
55100,0.939136,0.00569716
55600,0.939626,0.00517861
56100,0.930225,0.0151322
56600,0.934855,0.0102296
57100,0.933402,0.0117676
57600,0.93655,0.00843519
58100,0.934364,0.0107494
58600,0.936737,0.008237
59100,0.931687,0.0135835
59600,0.934309,0.0108081
60100,0.935832,0.00919508
60600,0.933505,0.0116591
61100,0.934374,0.0107392
61600,0.931348,0.0139427
62100,0.931525,0.0137558
62600,0.933585,0.0115747
63100,0.93851,0.00635974
63600,0.933804,0.0113427
64100,0.934652,0.0104446
64600,0.935666,0.00937151
65100,0.935735,0.00929853
65600,0.932598,0.0126198
66100,0.936065,0.00894831
66600,0.933081,0.0121079
67100,0.935335,0.00972186
67600,0.935659,0.00937835
68100,0.934372,0.0107413
68600,0.932914,0.0122845
69100,0.933249,0.0119299
69600,0.934345,0.0107699
70100,0.934254,0.0108661
70600,0.935408,0.00964375
71100,0.934603,0.0104971
71600,0.932842,0.0123605
72100,0.937758,0.0071567
72600,0.936655,0.00832451
73100,0.933715,0.0114368
73600,0.936333,0.00866536
74100,0.936894,0.00807106
74600,0.935846,0.009181
75100,0.936326,0.00867239
75600,0.936457,0.00853351
76100,0.931307,0.0139859
76600,0.932428,0.0127991
77100,0.939268,0.00555702
77600,0.935388,0.00966585
78100,0.937752,0.00716301
78600,0.937484,0.00744636
79100,0.935472,0.00957645
79600,0.933305,0.0118713
80100,0.933645,0.0115109
80600,0.933981,0.011155
81100,0.933656,0.011499
81600,0.932771,0.0124366
82100,0.937614,0.00730907
82600,0.93138,0.0139087
83100,0.934891,0.0101917
83600,0.93352,0.0116436
84100,0.930452,0.0148911
84600,0.9376,0.00732352
85100,0.937709,0.00720806
85600,0.93531,0.00974774
86100,0.94177,0.00290852
86600,0.934886,0.010197
87100,0.938348,0.00653195
87600,0.937167,0.00778182
88100,0.938027,0.00687166
88600,0.932847,0.0123558
89100,0.931507,0.0137744
89600,0.933332,0.0118421
90100,0.934354,0.0107604
90600,0.93635,0.00864729
91100,0.933645,0.0115111
91600,0.935984,0.00903415
92100,0.934812,0.0102756
92600,0.932314,0.0129195
93100,0.940223,0.0045469
93600,0.936046,0.00896864
94100,0.934516,0.0105891
94600,0.934249,0.0108709
95100,0.936363,0.00863275
95600,0.934976,0.0101019
96100,0.934517,0.0105881
96600,0.933734,0.0114164
97100,0.934606,0.0104934
97600,0.932459,0.0127665
98100,0.935516,0.00953036
98600,0.937753,0.00716202
99100,0.935724,0.0093098
99600,0.935031,0.0100431
